Номер операции      Угол элевации       Угол курса
553                   38.3358               45.722
554                   38.3358               45.722
555                   38.402               46.5242
556                   38.535               48.1285
557                   38.535               48.1285
558                   38.6689               46.5242
559                   38.6689               46.5242
560                   38.8034               44.9199
561                   38.8034               44.9199
562                   38.871               45.722
563                   39.0068               47.3263
564                   39.0068               47.3263
565                   39.1434               45.722
566                   39.1434               45.722
567                   39.2808               47.3263
568                   39.2808               47.3263
569                   39.419               45.722
570                   39.419               45.722
571                   39.558               47.3263
572                   39.558               47.3263
573                   39.6978               45.722
574                   39.6978               45.722
575                   39.8385               47.3263
576                   39.8385               47.3263
577                   39.98               45.722
578                   39.98               45.722
579                   40.1223               47.3263
580                   40.1223               47.3263
581                   40.1938               46.5242
582                   40.3374               44.9199
583                   40.3374               44.9199
584                   40.4095               45.722
585                   40.4818               46.5242
586                   40.6271               44.9199
587                   40.7001               45.722
588                   40.7001               45.722
589                   40.8467               47.3263
590                   40.8467               47.3263
591                   40.9942               45.722
592                   40.9942               45.722
593                   41.1426               47.3263
594                   41.1426               47.3263
595                   41.2918               45.722
596                   41.2918               45.722
597                   41.442               47.3263
598                   41.442               47.3263
599                   41.5174               46.5242
600                   41.6688               44.9199
601                   41.6688               44.9199
602                   41.8212               46.5242
603                   41.8212               46.5242
604                   41.8978               47.3263
605                   42.0515               45.722
606                   42.0515               45.722
607                   42.2062               47.3263
608                   42.2062               47.3263
609                   42.3618               45.722
610                   42.3618               45.722
611                   42.5183               47.3263
612                   42.5183               47.3263
613                   42.6758               45.722
614                   42.6758               45.722
615                   42.8342               47.3263
616                   42.8342               47.3263
617                   42.9936               45.722
618                   42.9936               45.722
619                   43.0737               46.5242
620                   43.2345               44.9199
621                   43.2345               44.9199
622                   43.3962               46.5242
623                   43.4775               47.3263
624                   43.4775               47.3263
625                   43.6407               45.722
626                   43.6407               45.722
627                   43.8049               47.3263
628                   43.8049               47.3263
629                   43.9701               45.722
630                   43.9701               45.722
631                   44.0531               46.5242
632                   44.2198               48.1285
633                   44.2198               48.1285
634                   44.3875               46.5242
635                   44.3875               46.5242
636                   44.5562               44.9199
637                   44.5562               44.9199
638                   44.6409               45.722
639                   44.8111               47.3263
640                   44.8111               47.3263
641                   44.9824               45.722
642                   44.9824               45.722
643                   45.0684               46.5242
644                   45.2412               44.9199
645                   45.2412               44.9199
646                   45.415               46.5242
647                   45.415               46.5242
648                   45.5899               48.1285
649                   45.5899               48.1285
650                   45.7658               46.5242
651                   45.7658               46.5242
652                   45.9428               44.9199
653                   45.9428               44.9199
654                   46.1209               46.5242
655                   46.1209               46.5242
656                   46.3               48.1285
657                   46.3               48.1285
658                   46.3899               47.3263
659                   46.5707               45.722
660                   46.6615               46.5242
661                   46.7525               45.722
662                   46.7525               45.722
663                   46.9355               47.3263
664                   46.9355               47.3263
665                   47.1195               45.722
666                   47.1195               45.722
667                   47.2119               46.5242
668                   47.2119               46.5242
669                   47.3976               44.9199
670                   47.3976               44.9199
671                   47.4909               45.722
672                   47.5844               46.5242
673                   47.7723               44.9199
674                   47.8667               45.722
675                   47.8667               45.722
676                   48.0563               47.3263
677                   48.0563               47.3263
678                   48.1515               46.5242
679                   48.3428               48.1285
680                   48.3428               48.1285
681                   48.4389               47.3263
682                   48.6319               45.722
683                   48.6319               45.722
684                   48.8261               47.3263
685                   48.8261               47.3263
686                   49.0215               45.722
687                   49.0215               45.722
688                   49.218               47.3263
689                   49.218               47.3263
690                   49.4156               45.722
691                   49.4156               45.722
692                   49.5149               46.5242
693                   49.7143               44.9199
694                   49.7143               44.9199
695                   49.915               46.5242
696                   50.0157               45.722
697                   50.0157               45.722
698                   50.2181               47.3263
699                   50.2181               47.3263
700                   50.4218               45.722
701                   50.4218               45.722
702                   50.6266               47.3263
703                   50.6266               47.3263
704                   50.8326               45.722
705                   50.8326               45.722
706                   50.9361               46.5242
707                   51.0398               45.722
708                   51.2483               47.3263
709                   51.2483               47.3263
710                   51.458               45.722
711                   51.5633               46.5242
712                   51.5633               46.5242
713                   51.7748               44.9199
714                   51.881               45.722
715                   51.881               45.722
716                   52.0944               47.3263
717                   52.0944               47.3263
718                   52.309               45.722
719                   52.309               45.722
720                   52.5249               47.3263
721                   52.5249               47.3263
722                   52.7421               45.722
723                   52.8511               46.5242
724                   52.8511               46.5242
725                   53.0701               44.9199
726                   53.1801               45.722
727                   53.1801               45.722
728                   53.401               47.3263
729                   53.401               47.3263
730                   53.6232               45.722
731                   53.6232               45.722
732                   53.7348               46.5242
733                   53.9589               48.1285
734                   53.9589               48.1285
735                   54.1842               46.5242
736                   54.1842               46.5242
737                   54.4109               44.9199
738                   54.4109               44.9199
739                   54.5247               45.722
740                   54.7533               47.3263
741                   54.7533               47.3263
742                   54.8681               46.5242
743                   54.9833               45.722
744                   55.2145               47.3263
745                   55.3306               46.5242
746                   55.3306               46.5242
747                   55.5637               44.9199
748                   55.5637               44.9199
749                   55.7982               46.5242
750                   55.916               47.3263
751                   55.916               47.3263
752                   56.034               46.5242
753                   56.2711               48.1285
754                   56.2711               48.1285
755                   56.3901               47.3263
756                   56.6292               45.722
757                   56.6292               45.722
758                   56.8696               47.3263
759                   56.8696               47.3263
760                   57.1113               45.722
761                   57.1113               45.722
762                   57.3544               47.3263
763                   57.3544               47.3263
764                   57.4764               46.5242
765                   57.7215               44.9199
766                   57.7215               44.9199
767                   57.9678               46.5242
768                   57.9678               46.5242
769                   58.0915               45.722
770                   58.3399               47.3263
771                   58.3399               47.3263
772                   58.5896               45.722
773                   58.5896               45.722
774                   58.8407               47.3263
775                   58.8407               47.3263
776                   59.0931               45.722
777                   59.2198               46.5242
778                   59.3468               45.722
779                   59.3468               45.722
780                   59.6019               47.3263
781                   59.6019               47.3263
782                   59.7299               46.5242
783                   59.987               44.9199
784                   59.987               44.9199
785                   60.2454               46.5242
786                   60.2454               46.5242
787                   60.5051               44.9199
788                   60.5051               44.9199
789                   60.6355               45.722
790                   60.7662               46.5242
791                   61.0286               48.1285
792                   61.0286               48.1285
793                   61.1603               47.3263
794                   61.2924               46.5242
795                   61.4248               45.722
796                   61.6905               47.3263
797                   61.8239               46.5242
798                   61.8239               46.5242
799                   61.9577               45.722
800                   62.2261               47.3263
801                   62.2261               47.3263
802                   62.4959               45.722
803                   62.6313               46.5242
804                   62.6313               46.5242
805                   62.767               45.722
806                   62.9031               46.5242
807                   63.0394               45.722
808                   63.3132               47.3263
809                   63.3132               47.3263
810                   63.5883               45.722
811                   63.7263               46.5242
812                   63.7263               46.5242
813                   64.0033               44.9199
814                   64.0033               44.9199
815                   64.2817               46.5242
816                   64.2817               46.5242
817                   64.5613               48.1285
818                   64.5613               48.1285
819                   64.8423               46.5242
820                   64.8423               46.5242
821                   64.9833               45.722
822                   65.1246               46.5242
823                   65.4081               44.9199
824                   65.4081               44.9199
825                   65.5504               45.722
826                   65.8359               47.3263
827                   65.8359               47.3263
828                   66.1227               45.722
829                   66.1227               45.722
830                   66.2666               46.5242
831                   66.5552               44.9199
832                   66.5552               44.9199
833                   66.8452               46.5242
834                   66.8452               46.5242
835                   67.1364               48.1285
836                   67.1364               48.1285
837                   67.4289               46.5242
838                   67.4289               46.5242
839                   67.7226               44.9199
840                   67.7226               44.9199
841                   68.0175               46.5242
842                   68.0175               46.5242
843                   68.3137               48.1285
844                   68.3137               48.1285
845                   68.6111               46.5242
846                   68.6111               46.5242
847                   68.7603               45.722
848                   68.9097               46.5242
849                   69.0595               45.722
850                   69.3599               47.3263
851                   69.3599               47.3263
852                   69.5106               46.5242
853                   69.6616               45.722
854                   69.9644               47.3263
855                   69.9644               47.3263
856                   70.1163               46.5242
857                   70.2684               45.722
858                   70.4208               46.5242
859                   70.7265               44.9199
860                   70.7265               44.9199
861                   71.0334               46.5242
862                   71.0334               46.5242
863                   71.1873               45.722
864                   71.4958               47.3263
865                   71.4958               47.3263
866                   71.8055               45.722
867                   71.8055               45.722
868                   72.1163               47.3263
869                   72.1163               47.3263
870                   72.4282               45.722
871                   72.5846               46.5242
872                   72.5846               46.5242
873                   72.7412               45.722
874                   72.8981               46.5242
875                   73.2126               44.9199
876                   73.3702               45.722
877                   73.3702               45.722
878                   73.6864               47.3263
879                   73.6864               47.3263
880                   73.8448               46.5242
881                   74.1624               48.1285
882                   74.1624               48.1285
883                   74.3216               47.3263
884                   74.6407               45.722
885                   74.6407               45.722
886                   74.9608               47.3263
887                   74.9608               47.3263
888                   75.2819               45.722
889                   75.2819               45.722
890                   75.604               47.3263
891                   75.604               47.3263
892                   75.7653               46.5242
893                   76.0887               44.9199
894                   76.0887               44.9199
895                   76.4131               46.5242
896                   76.4131               46.5242
897                   76.5756               45.722
898                   76.9012               47.3263
899                   76.9012               47.3263
900                   77.0644               46.5242
901                   77.2278               45.722
902                   77.5551               47.3263
903                   77.7192               46.5242
904                   77.7192               46.5242
905                   77.8834               45.722
906                   78.0478               46.5242
907                   78.2124               45.722
908                   78.5422               47.3263
909                   78.5422               47.3263
910                   78.7074               46.5242
911                   79.0383               44.9199
912                   79.0383               44.9199
913                   79.37               46.5242
914                   79.37               46.5242
915                   79.7023               44.9199
916                   79.7023               44.9199
917                   80.0355               46.5242
918                   80.0355               46.5242
919                   80.3692               48.1285
920                   80.5363               47.3263
921                   80.7036               46.5242
922                   80.7036               46.5242
923                   81.0387               44.9199
924                   81.2065               45.722
925                   81.2065               45.722
926                   81.3744               46.5242
927                   81.7107               48.1285
928                   81.879               47.3263
929                   81.879               47.3263
930                   82.2162               45.722
931                   82.2162               45.722
932                   82.5539               47.3263
933                   82.5539               47.3263
934                   82.8922               45.722
935                   83.0615               46.5242
936                   83.0615               46.5242
937                   83.4004               44.9199
938                   83.4004               44.9199
939                   83.7399               46.5242
940                   83.7399               46.5242
941                   84.0797               48.1285
942                   84.2498               47.3263
943                   84.2498               47.3263
944                   84.5903               45.722
945                   84.5903               45.722
946                   84.7607               46.5242
947                   84.9312               45.722
948                   85.2724               47.3263
949                   85.2724               47.3263
950                   85.4432               46.5242
951                   85.7849               44.9199
952                   85.9559               45.722
953                   85.9559               45.722
954                   86.298               47.3263
955                   86.298               47.3263
956                   86.6405               45.722
957                   86.6405               45.722
958                   86.9832               47.3263
959                   86.9832               47.3263
960                   18.2427               45.722
961                   18.2427               45.722
962                   18.2675               47.3263
963                   18.2675               47.3263
964                   18.2802               48.1285
965                   18.2931               48.9306
966                   18.3061               49.7327
967                   18.3061               49.7327
968                   18.3193               50.5349
969                   18.3461               52.1392
970                   18.3598               52.9413
971                   18.3736               53.7434
972                   18.3875               54.5456
973                   18.3875               54.5456
974                   18.4159               56.1499
975                   18.4159               56.1499
976                   18.4449               57.7541
977                   18.4449               57.7541
978                   18.4744               59.3584
979                   18.4744               59.3584
980                   18.5045               60.9627
981                   18.5045               60.9627
982                   18.5198               61.7649
983                   18.5352               62.567
984                   18.5664               64.1713
985                   18.5664               64.1713
986                   18.5981               65.7756
987                   18.5981               65.7756
988                   18.6303               67.3798
989                   18.6303               67.3798
990                   18.6629               68.9841
991                   18.6794               69.7863
992                   18.6794               69.7863
993                   18.7127               71.3905
994                   18.7296               72.1927
995                   18.7296               72.1927
996                   18.7465               72.9948
997                   18.7807               74.5991
998                   18.7807               74.5991
999                   18.8152               76.2034
1000                   18.8152               76.2034
